date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:51:42	60242/60242	---MCZ	200	added ('OK')	text/html	etag:W/%225bedb141-eb52%22	https://envytheme.com/tf-demo/edufield/index-default.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/index-default.html	(from )
21:51:42	169/169	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Nov%202018%2016:21:43%20GMT	https://envytheme.com/robots.txt		(from )
21:51:43	140942/140942	---MCZ	200	added ('OK')	text/css	etag:W/%225bed4667-2268e%22	https://envytheme.com/tf-demo/edufield/assets/css/bootstrap.min.css	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/assets/css/bootstrap.min.css	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:43	92214/92214	---MCZ	200	added ('OK')	text/css	etag:W/%225bed4667-16836%22	https://envytheme.com/tf-demo/edufield/assets/css/icofont.min.css	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/assets/css/icofont.min.css	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:43	31344/31344	---MCZ	200	added ('OK')	text/css	etag:W/%225bed4667-7a70%22	https://envytheme.com/tf-demo/edufield/assets/css/classy-nav.min.css	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/assets/css/classy-nav.min.css	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:43	18661/18661	---MCZ	200	added ('OK')	text/css	etag:W/%225bed4666-48e5%22	https://envytheme.com/tf-demo/edufield/assets/css/animate.css	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/assets/css/animate.css	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:44	4614/4614	---MCZ	200	added ('OK')	text/css	etag:W/%225bed4668-1206%22	https://envytheme.com/tf-demo/edufield/assets/css/owl.carousel.css	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/assets/css/owl.carousel.css	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:44	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%225bed4667-1b27%22	https://envytheme.com/tf-demo/edufield/assets/css/magnific-popup.css	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/assets/css/magnific-popup.css	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:44	936/936	---MCZ	200	added ('OK')	text/css	etag:W/%225bed4668-3a8%22	https://envytheme.com/tf-demo/edufield/assets/css/owl.theme.default.min.css	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/assets/css/owl.theme.default.min.css	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:44	90980/90980	---MCZ	200	added ('OK')	text/css	etag:W/%225bed4668-16364%22	https://envytheme.com/tf-demo/edufield/assets/css/style.css	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/assets/css/style.css	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:45	19427/19427	---MCZ	200	added ('OK')	text/css	etag:W/%225bed4668-4be3%22	https://envytheme.com/tf-demo/edufield/assets/css/responsive.css	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/assets/css/responsive.css	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:45	1911/1911	---M--	200	added ('OK')	image/png	etag:%225bed467b-777%22	https://envytheme.com/tf-demo/edufield/assets/img/favicon.png	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/assets/img/favicon.png	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:45	3057/3057	---M--	200	added ('OK')	image/png	etag:%225bed4680-bf1%22	https://envytheme.com/tf-demo/edufield/assets/img/logo.png	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/assets/img/logo.png	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:45	61843/61843	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4654-f193%22	https://envytheme.com/tf-demo/edufield/index-two.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/index-two.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:45	61620/61620	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4654-f0b4%22	https://envytheme.com/tf-demo/edufield/index-three.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/index-three.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:46	62187/62187	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4654-f2eb%22	https://envytheme.com/tf-demo/edufield/index-four.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/index-four.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:46	44538/44538	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4650-adfa%22	https://envytheme.com/tf-demo/edufield/about.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/about.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:46	19596/19596	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4650-4c8c%22	https://envytheme.com/tf-demo/edufield/admission.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/admission.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:47	31937/31937	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4657-7cc1%22	https://envytheme.com/tf-demo/edufield/teacher-style-one.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/teacher-style-one.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:47	32921/32921	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4657-8099%22	https://envytheme.com/tf-demo/edufield/teacher-style-two.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/teacher-style-two.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:47	28213/28213	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4656-6e35%22	https://envytheme.com/tf-demo/edufield/single-teacher.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/single-teacher.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:47	35609/35609	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4652-8b19%22	https://envytheme.com/tf-demo/edufield/courses-style-one.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/courses-style-one.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:47	38297/38297	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4652-9599%22	https://envytheme.com/tf-demo/edufield/courses-style-two.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/courses-style-two.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:48	61305/61305	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4656-ef79%22	https://envytheme.com/tf-demo/edufield/single-courses.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/single-courses.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:48	33389/33389	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4653-826d%22	https://envytheme.com/tf-demo/edufield/event-style-one.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/event-style-one.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:48	31913/31913	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4653-7ca9%22	https://envytheme.com/tf-demo/edufield/event-style-two.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/event-style-two.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:48	29206/29206	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4656-7216%22	https://envytheme.com/tf-demo/edufield/single-events.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/single-events.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:49	37981/37981	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4651-945d%22	https://envytheme.com/tf-demo/edufield/blog-style-one.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/blog-style-one.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:49	33584/33584	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4651-8330%22	https://envytheme.com/tf-demo/edufield/blog-style-two.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/blog-style-two.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:49	35968/35968	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4651-8c80%22	https://envytheme.com/tf-demo/edufield/blog-style-three.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/blog-style-three.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:49	35319/35319	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4655-89f7%22	https://envytheme.com/tf-demo/edufield/single-blog.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/single-blog.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:50	34207/34207	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4655-859f%22	https://envytheme.com/tf-demo/edufield/shop-style-one.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/shop-style-one.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:50	35447/35447	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4655-8a77%22	https://envytheme.com/tf-demo/edufield/shop-style-two.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/shop-style-two.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:50	33702/33702	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4656-83a6%22	https://envytheme.com/tf-demo/edufield/single-shop.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/single-shop.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:50	25453/25453	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4651-636d%22	https://envytheme.com/tf-demo/edufield/cart.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/cart.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:51	32913/32913	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4652-8091%22	https://envytheme.com/tf-demo/edufield/checkout.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/checkout.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:51	24926/24926	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4652-615e%22	https://envytheme.com/tf-demo/edufield/contact-style-one.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/contact-style-one.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:51	24404/24404	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4652-5f54%22	https://envytheme.com/tf-demo/edufield/contact-style-two.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/contact-style-two.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
21:51:51	4999/4999	---MCZ	200	added ('OK')	text/html	etag:W/%225bed4653-1387%22	https://envytheme.com/tf-demo/edufield/error.html	C:/Users/user/Desktop/New%20folder%20(2)/edu/envytheme.com/tf-demo/edufield/error.html	(from https://envytheme.com/tf-demo/edufield/index-default.html)
